"VADIM_V.SPC"
WL/nm,Abs
700.00,0.0557
699.00,0.0560
698.00,0.0566
697.00,0.0572
696.00,0.0578
695.00,0.0583
694.00,0.0589
693.00,0.0595
692.00,0.0602
691.00,0.0609
690.00,0.0616
689.00,0.0623
688.00,0.0631
687.00,0.0637
686.00,0.0643
685.00,0.0652
684.00,0.0660
683.00,0.0666
682.00,0.0674
681.00,0.0682
680.00,0.0692
679.00,0.0701
678.00,0.0708
677.00,0.0717
676.00,0.0727
675.00,0.0736
674.00,0.0745
673.00,0.0755
672.00,0.0765
671.00,0.0775
670.00,0.0786
669.00,0.0797
668.00,0.0808
667.00,0.0820
666.00,0.0831
665.00,0.0843
664.00,0.0855
663.00,0.0868
662.00,0.0881
661.00,0.0894
660.00,0.0908
659.00,0.0920
658.00,0.0934
657.00,0.0949
656.00,0.0963
655.00,0.0979
654.00,0.0995
653.00,0.1011
652.00,0.1028
651.00,0.1044
650.00,0.1060
649.00,0.1077
648.00,0.1095
647.00,0.1114
646.00,0.1132
645.00,0.1152
644.00,0.1171
643.00,0.1192
642.00,0.1212
641.00,0.1233
640.00,0.1254
639.00,0.1276
638.00,0.1300
637.00,0.1323
636.00,0.1347
635.00,0.1371
634.00,0.1397
633.00,0.1424
632.00,0.1451
631.00,0.1479
630.00,0.1506
629.00,0.1535
628.00,0.1563
627.00,0.1593
626.00,0.1624
625.00,0.1658
624.00,0.1690
623.00,0.1724
622.00,0.1757
621.00,0.1792
620.00,0.1827
619.00,0.1864
618.00,0.1901
617.00,0.1939
616.00,0.1979
615.00,0.2019
614.00,0.2060
613.00,0.2103
612.00,0.2146
611.00,0.2188
610.00,0.2232
609.00,0.2278
608.00,0.2325
607.00,0.2374
606.00,0.2423
605.00,0.2472
604.00,0.2524
603.00,0.2575
602.00,0.2628
601.00,0.2681
600.00,0.2736
599.00,0.2793
598.00,0.2850
597.00,0.2909
596.00,0.2966
595.00,0.3023
594.00,0.3083
593.00,0.3142
592.00,0.3205
591.00,0.3267
590.00,0.3333
589.00,0.3396
588.00,0.3461
587.00,0.3523
586.00,0.3589
585.00,0.3655
584.00,0.3723
583.00,0.3790
582.00,0.3859
581.00,0.3928
580.00,0.3996
579.00,0.4065
578.00,0.4134
577.00,0.4201
576.00,0.4268
575.00,0.4337
574.00,0.4405
573.00,0.4472
572.00,0.4540
571.00,0.4606
570.00,0.4669
569.00,0.4732
568.00,0.4796
567.00,0.4858
566.00,0.4919
565.00,0.4981
564.00,0.5041
563.00,0.5096
562.00,0.5151
561.00,0.5204
560.00,0.5256
559.00,0.5307
558.00,0.5357
557.00,0.5406
556.00,0.5450
555.00,0.5495
554.00,0.5535
553.00,0.5574
552.00,0.5611
551.00,0.5647
550.00,0.5680
549.00,0.5712
548.00,0.5744
547.00,0.5771
546.00,0.5797
545.00,0.5821
544.00,0.5844
543.00,0.5866
542.00,0.5886
541.00,0.5904
540.00,0.5920
539.00,0.5934
538.00,0.5946
537.00,0.5959
536.00,0.5980
535.00,0.5981
534.00,0.5983
533.00,0.5985
532.00,0.5984
531.00,0.5981
530.00,0.5975
529.00,0.5965
528.00,0.5953
527.00,0.5937
526.00,0.5918
525.00,0.5894
524.00,0.5867
523.00,0.5835
522.00,0.5800
521.00,0.5763
520.00,0.5720
519.00,0.5671
518.00,0.5621
517.00,0.5566
516.00,0.5509
515.00,0.5448
514.00,0.5384
513.00,0.5316
512.00,0.5249
511.00,0.5178
510.00,0.5101
509.00,0.5027
508.00,0.4952
507.00,0.4873
506.00,0.4797
505.00,0.4720
504.00,0.4645
503.00,0.4571
502.00,0.4498
501.00,0.4421
500.00,0.4351
499.00,0.4280
498.00,0.4212
497.00,0.4148
496.00,0.4089
495.00,0.4029
494.00,0.3969
493.00,0.3915
492.00,0.3864
491.00,0.3814
490.00,0.3768
489.00,0.3724
488.00,0.3682
487.00,0.3645
486.00,0.3610
485.00,0.3576
484.00,0.3545
483.00,0.3515
482.00,0.3486
481.00,0.3460
480.00,0.3438
479.00,0.3417
478.00,0.3396
477.00,0.3377
476.00,0.3361
475.00,0.3346
474.00,0.3332
473.00,0.3319
472.00,0.3307
471.00,0.3297
470.00,0.3287
469.00,0.3277
468.00,0.3269
467.00,0.3261
466.00,0.3255
465.00,0.3248
464.00,0.3244
463.00,0.3240
462.00,0.3235
461.00,0.3232
460.00,0.3229
459.00,0.3226
458.00,0.3224
457.00,0.3222
456.00,0.3221
455.00,0.3220
454.00,0.3220
453.00,0.3220
452.00,0.3221
451.00,0.3219
450.00,0.3221
449.00,0.3223
448.00,0.3225
447.00,0.3227
446.00,0.3228
445.00,0.3231
444.00,0.3233
443.00,0.3236
442.00,0.3239
441.00,0.3241
440.00,0.3246
439.00,0.3247
438.00,0.3252
437.00,0.3257
436.00,0.3261
435.00,0.3265
434.00,0.3271
433.00,0.3274
432.00,0.3279
431.00,0.3284
430.00,0.3289
429.00,0.3294
428.00,0.3299
427.00,0.3305
426.00,0.3311
425.00,0.3317
424.00,0.3322
423.00,0.3328
422.00,0.3334
421.00,0.3340
420.00,0.3346
419.00,0.3352
418.00,0.3359
417.00,0.3362
416.00,0.3363
415.00,0.3375
414.00,0.3382
413.00,0.3389
412.00,0.3396
411.00,0.3403
410.00,0.3409
409.00,0.3419
408.00,0.3427
407.00,0.3433
406.00,0.3441
405.00,0.3449
404.00,0.3457
403.00,0.3466
402.00,0.3474
401.00,0.3482
400.00,0.3490
399.00,0.3499
398.00,0.3506
397.00,0.3515
396.00,0.3523
395.00,0.3532
394.00,0.3539
393.00,0.3546
392.00,0.3556
391.00,0.3566
390.00,0.3577
389.00,0.3585
388.00,0.3592
387.00,0.3600
386.00,0.3610
385.00,0.3619
384.00,0.3628
383.00,0.3633
382.00,0.3644
381.00,0.3651
380.00,0.3657
379.00,0.3667
378.00,0.3678
377.00,0.3683
376.00,0.3685
375.00,0.3699
374.00,0.3704
373.00,0.3710
372.00,0.3717
371.00,0.3724
370.00,0.3729
369.00,0.3736
368.00,0.3743
367.00,0.3747
366.00,0.3754
365.00,0.3761
364.00,0.3763
363.00,0.3769
362.00,0.3776
361.00,0.3772
360.00,0.3775
359.00,0.3780
358.00,0.3783
357.00,0.3780
356.00,0.3780
355.00,0.3790
354.00,0.3793
353.00,0.3795
352.00,0.3796
351.00,0.3805
350.00,0.3808
349.00,0.3814
348.00,0.3817
347.00,0.3826
346.00,0.3829
345.00,0.3838
344.00,0.3847
343.00,0.3861
342.00,0.3871
341.00,0.3878
340.00,0.3892
339.00,0.3897
338.00,0.3907
337.00,0.3925
336.00,0.3944
335.00,0.3956
334.00,0.3976
333.00,0.3995
